load_dt (UTC);map_code;load_nature;load_power (MW);commodity;load_power (GW)
2018-01-01 07:15:00+00:00;FR;load_nature_forecast D-0;49450.0;EL;49.45
2018-01-01 07:15:00+00:00;FR;load_nature_forecast D-1;46400.0;EL;46.4
2018-01-01 07:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 07:30:00+00:00;FR;load_nature_forecast D-0;49400.0;EL;49.4
2018-01-01 07:30:00+00:00;FR;load_nature_forecast D-1;46300.0;EL;46.3
2018-01-01 07:30:00+00:00;FR;load_nature_observation;51099.0;EL;51.099
2018-01-01 07:45:00+00:00;FR;load_nature_forecast D-0;49350.0;EL;49.35
2018-01-01 07:45:00+00:00;FR;load_nature_forecast D-1;46350.0;EL;46.35
2018-01-01 07:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 08:00:00+00:00;FR;load_nature_forecast D-0;49300.0;EL;49.3
2018-01-01 08:00:00+00:00;FR;load_nature_forecast D-1;46400.0;EL;46.4
2018-01-01 08:00:00+00:00;FR;load_nature_observation;51035.0;EL;51.035
2018-01-01 08:15:00+00:00;FR;load_nature_forecast D-0;49700.0;EL;49.7
2018-01-01 08:15:00+00:00;FR;load_nature_forecast D-1;46950.0;EL;46.95
2018-01-01 08:15:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 08:30:00+00:00;FR;load_nature_forecast D-0;50100.0;EL;50.1
2018-01-01 08:30:00+00:00;FR;load_nature_forecast D-1;47500.0;EL;47.5
2018-01-01 08:30:00+00:00;FR;load_nature_observation;51668.0;EL;51.668
2018-01-01 08:45:00+00:00;FR;load_nature_forecast D-0;50450.0;EL;50.45
2018-01-01 08:45:00+00:00;FR;load_nature_forecast D-1;48000.0;EL;48.0
2018-01-01 08:45:00+00:00;FR;load_nature_observation;;EL;
2018-01-01 09:00:00+00:00;FR;load_nature_forecast D-0;50800.0;EL;50.8
2018-01-01 09:00:00+00:00;FR;load_nature_forecast D-1;48500.0;EL;48.5
2018-01-01 09:00:00+00:00;FR;load_nature_observation;52495.0;EL;52.495
2018-01-01 09:15:00+00:00;FR;load_nature_forecast D-0;51450.0;EL;51.45
