publication_id;version;publication_dt (UTC);outage_begin_dt (UTC);outage_end_dt (UTC);unit_name;available capacity (MW);nominal capacity (MW);producer_name;map_code;production_source;creation_dt (UTC);outage_type;outage_cause;outage_status;source
-EDF-05470-EDF-T-00050272_002;2;2020-10-11 07:24:00+00:00;;;PALUEL 1;1000.0;1330.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050272_001;1;2020-10-09 02:27:00+00:00;;;PALUEL 1;1000.0;1330.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_014;14;2020-10-09 18:14:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_013;13;2020-10-08 18:10:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_012;12;2020-10-06 08:06:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_011;11;2020-10-01 07:15:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_010;10;2020-08-31 09:56:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_009;9;2020-07-02 16:43:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_008;8;2020-04-22 09:53:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_007;7;2020-04-14 14:13:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_006;6;2020-03-31 12:05:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_005;5;2020-02-13 22:10:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_004;4;2018-08-03 20:54:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_003;3;2017-08-11 15:23:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_002;2;2017-05-24 13:52:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00023930_001;1;2017-05-02 00:29:00+00:00;;;BLAYAIS 3;0.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050281_001;1;2020-10-09 09:34:00+00:00;;;PALUEL 4;1199.0;1330.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050276_001;1;2020-10-09 05:20:00+00:00;;;PALUEL 1;1220.0;1330.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050271_001;1;2020-10-09 02:25:00+00:00;;;PALUEL 1;1205.0;1330.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_015;15;2020-10-08 23:30:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Inactif;RTE
-EDF-05470-EDF-T-00026167_014;14;2020-10-08 15:40:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_013;13;2020-10-08 06:54:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_012;12;2020-10-05 07:16:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_011;11;2020-10-02 16:29:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_010;10;2020-09-25 14:06:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_009;9;2020-08-13 11:31:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_008;8;2020-07-02 17:03:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_007;7;2020-04-22 11:37:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_006;6;2020-04-22 10:24:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_005;5;2020-04-03 09:55:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_004;4;2020-02-13 20:43:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_003;3;2018-11-22 17:04:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_002;2;2018-10-26 10:24:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00026167_001;1;2017-10-03 00:29:00+00:00;;;DAMPIERRE 3;0.0;890.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
